,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_LYR-1,simple,CLS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,62.96,63.76,84.88,68.77,70.87,45.78,67.57,66.36999999999999
1,allmpnet,AVG_LYR-1,simple,AVG,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,78.1,82.41,93.42,90.07,82.8,84.02,74.19,83.57285714285715
2,allmpnet,SUM_LYR-1,simple,SUM,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.38,81.73,93.24,89.64,82.91,84.79,72.45,83.16285714285713
3,allmpnet,MAX_LYR-1,simple,MAX,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,73.05,79.86,90.37,88.94,77.98,81.03,74.39,80.80285714285715
4,allmpnet,AVG-NS_LYR-1,simple-ns,AVG-NS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,77.68,81.5,92.51,88.7,81.65,76.65,73.18,81.69571428571427
5,allmpnet,SUM-NS_LYR-1,simple-ns,SUM-NS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,76.96,80.46,92.24,88.31,80.96,76.23,70.02,80.74
6,allmpnet,MAX-NS_LYR-1,simple-ns,MAX-NS,LYR-1,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,73.26,64.14,89.35,68.76,55.85,73.07,73.33,71.10857142857142
7,allmpnet,CLS_LYR-2,simple,CLS,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,65.33,63.76,85.85,71.03,70.41,42.31,68.62,66.75857142857143
8,allmpnet,AVG_LYR-2,simple,AVG,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.92,85.78,94.37,90.49,82.8,86.1,74.73,84.88428571428572
9,allmpnet,SUM_LYR-2,simple,SUM,LYR-2,4,"torch.Size([61, 768])",12,0,batch-64-nhid-0-inlayer-0,NORMAL,79.39,85.05,94.08,90.06,82.0,86.45,73.21,84.32000000000001
